"IndividualId","Time [min]","Organism|VenousBlood|Plasma|Aciclovir|Concentration [µmol/l]","Organism|ArterialBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]","Organism|VenousBlood_UmbilicalCord|Plasma|Aciclovir|Concentration [µmol/l]"
0,360,0.4745774,0.22716357,0.22968675
0,363,0.47047782,0.22763316,0.23010498
0,366,0.46653116,0.22809318,0.23051552
0,369,0.4627268,0.228544,0.23091863
0,372,0.45905057,0.22898594,0.23131455
0,375,0.45548952,0.2294193,0.23170355
0,378,0.45203096,0.2298444,0.23208582
0,381,0.448669,0.23026153,0.23246153
0,384,0.44539884,0.23067093,0.23283087
0,387,0.44222057,0.23107286,0.233194
0,390,0.4391305,0.23146755,0.23355106
0,393,0.43612635,0.2318552,0.23390222
0,396,0.43320295,0.23223604,0.23424765
0,399,0.43035758,0.23261027,0.2345875
0,402,0.42758647,0.23297806,0.23492192
0,405,0.4248886,0.23333962,0.23525101
0,408,0.42226225,0.2336951,0.23557493
0,411,0.4197068,0.23404469,0.23589379
0,414,0.41722012,0.23438853,0.23620774
0,417,0.4147998,0.23472677,0.2365169
0,420,0.41244218,0.23505957,0.23682137
0,423,0.41014352,0.23538707,0.23712128
0,426,0.4079,0.23570941,0.23741676
0,429,0.40570897,0.23602672,0.23770788
0,432,0.40356877,0.23633912,0.23799476
0,435,0.4014787,0.23664674,0.23827748
0,438,0.39943793,0.2369497,0.23855613
0,441,0.39744538,0.23724811,0.2388308
0,444,0.3954998,0.23754206,0.23910159
0,447,0.3935998,0.23783167,0.23936857
0,450,0.39174414,0.23811704,0.23963185
0,453,0.38993198,0.23839827,0.23989148
0,456,0.38816258,0.23867545,0.24014758
0,459,0.38643545,0.23894867,0.2404002
0,462,0.38474995,0.23921804,0.24064942
0,465,0.3831054,0.23948362,0.24089533
0,468,0.38150102,0.23974551,0.241138
0,471,0.37993613,0.24000381,0.24137749
0,474,0.37841,0.24025857,0.2416139
0,477,0.37692204,0.2405099,0.24184728
0,480,0.3754716,0.24075785,0.24207771
0,483,0.37419263,0.24100253,0.24230526
0,486,0.37491536,0.24124402,0.2425305
0,489,0.38148174,0.24148275,0.24275728
0,492,0.39833388,0.24172036,0.24299611
0,495,0.42944467,0.24196072,0.24326535
0,498,0.47766054,0.24221085,0.2435903
0,501,0.54449254,0.24248149,0.24400133
0,504,0.630166,0.24278694,0.24453144
0,507,0.7337771,0.24314485,0.24521382
